transaction_id,date,description,merchant,category,amount,type,day_of_week,day_of_month,month,year,is_weekend,balance
63,2024-11-10 10:58:05.115834,Carrefour - Groceries,Carrefour,Groceries,-315.58,debit,Sunday,10,11,2024,False,-429.78000000000384
64,2024-11-11 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-104.15,debit,Monday,11,11,2024,False,-533.9300000000038
65,2024-11-11 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-485.43,debit,Monday,11,11,2024,False,-1019.3600000000038
66,2024-11-12 10:58:05.115834,Lulu Hypermarket - Groceries,Lulu Hypermarket,Groceries,-353.27,debit,Tuesday,12,11,2024,False,-1372.6300000000037
67,2024-11-12 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-108.17,debit,Tuesday,12,11,2024,False,-1480.8000000000038
68,2024-11-13 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-73.22,debit,Wednesday,13,11,2024,False,-1554.0200000000038
69,2024-11-14 10:58:05.115834,Building Maintenance - Utilities,Building Maintenance,Utilities,-262.97,debit,Thursday,14,11,2024,False,-1816.9900000000039
70,2024-11-14 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-183.69,debit,Thursday,14,11,2024,False,-2000.680000000004
71,2024-11-15 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-157.66,debit,Friday,15,11,2024,True,-2158.340000000004
72,2024-11-16 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-183.01,debit,Saturday,16,11,2024,True,-2341.350000000004
73,2024-11-16 10:58:05.115834,Parking - Transportation,Parking,Transportation,-136.46,debit,Saturday,16,11,2024,True,-2477.810000000004
74,2024-11-17 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-93.36,debit,Sunday,17,11,2024,False,-2571.170000000004
75,2024-11-17 10:58:05.115834,Talise Fitness - Fitness,Talise Fitness,Fitness,-270.35,debit,Sunday,17,11,2024,False,-2841.520000000004
76,2024-11-17 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-124.6,debit,Sunday,17,11,2024,False,-2966.120000000004
77,2024-11-18 10:58:05.115834,Carrefour - Groceries,Carrefour,Groceries,-309.85,debit,Monday,18,11,2024,False,-3275.970000000004
78,2024-11-18 10:58:05.115834,Careem - Transportation,Careem,Transportation,-270.86,debit,Monday,18,11,2024,False,-3546.830000000004
79,2024-11-18 10:58:05.115834,Parking - Transportation,Parking,Transportation,-271.01,debit,Monday,18,11,2024,False,-3817.840000000004
80,2024-11-18 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-176.35,debit,Monday,18,11,2024,False,-3994.1900000000037
81,2024-11-21 10:58:05.115834,Home Centre - Shopping,Home Centre,Shopping,-711.54,debit,Thursday,21,11,2024,False,-4705.730000000003
82,2024-11-21 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-41.48,debit,Thursday,21,11,2024,False,-4747.210000000003
83,2024-11-21 10:58:05.115834,Dubai Mall - Entertainment,Dubai Mall,Entertainment,-252.4,debit,Thursday,21,11,2024,False,-4999.610000000002
84,2024-11-22 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-34.02,debit,Friday,22,11,2024,True,-5033.630000000003
85,2024-11-22 10:58:05.115834,H&M - Shopping,H&M,Shopping,-1515.48,debit,Friday,22,11,2024,True,-6549.110000000002
86,2024-11-22 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-166.07,debit,Friday,22,11,2024,True,-6715.180000000002
87,2024-11-23 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-178.37,debit,Saturday,23,11,2024,True,-6893.550000000002
88,2024-11-23 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-152.13,debit,Saturday,23,11,2024,True,-7045.680000000002
89,2024-11-24 10:58:05.115834,Carrefour - Groceries,Carrefour,Groceries,-378.63,debit,Sunday,24,11,2024,False,-7424.310000000002
90,2024-11-24 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-232.05,debit,Sunday,24,11,2024,False,-7656.360000000002
91,2024-11-24 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-123.72,debit,Sunday,24,11,2024,False,-7780.080000000003
92,2024-11-24 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-56.24,debit,Sunday,24,11,2024,False,-7836.320000000002
93,2024-11-24 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-181.31,debit,Sunday,24,11,2024,False,-8017.630000000003
94,2024-11-25 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-163.41,debit,Monday,25,11,2024,False,-8181.040000000003
95,2024-11-26 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-105.21,debit,Tuesday,26,11,2024,False,-8286.250000000002
96,2024-11-27 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-151.27,debit,Wednesday,27,11,2024,False,-8437.520000000002
97,2024-11-27 10:58:05.115834,Parking - Transportation [UNUSUAL],Parking,Transportation,-740.2142606259625,debit,Wednesday,27,11,2024,False,-8664.480000000001
98,2024-11-28 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-40.01,debit,Thursday,28,11,2024,False,-8704.490000000002
99,2024-11-29 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-399.46,debit,Friday,29,11,2024,True,-9103.95
100,2024-11-30 10:58:05.115834,Dubai Mall - Entertainment,Dubai Mall,Entertainment,-822.02,debit,Saturday,30,11,2024,True,-9925.970000000001
101,2024-12-01 10:58:05.115834,Amazon.ae - Shopping,Amazon.ae,Shopping,-839.04,debit,Sunday,1,12,2024,False,-10765.010000000002
102,2024-12-02 10:58:05.115834,Uber - Transportation,Uber,Transportation,-282.38,debit,Monday,2,12,2024,False,-11047.390000000001
103,2024-12-02 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-65.63,debit,Monday,2,12,2024,False,-11113.02
104,2024-12-03 10:58:05.115834,Uber - Transportation,Uber,Transportation,-127.76,debit,Tuesday,3,12,2024,False,-11240.78
105,2024-12-03 10:58:05.115834,Subway - Dining & Coffee [UNUSUAL],Subway,Dining & Coffee,-197.0475056079726,debit,Tuesday,3,12,2024,False,-11283.18
106,2024-12-05 10:58:05.115834,Spotify - Entertainment,Spotify,Entertainment,-248.54,debit,Thursday,5,12,2024,False,-11531.720000000001
107,2024-12-05 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-125.91,debit,Thursday,5,12,2024,False,-11657.630000000001
108,2024-12-05 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-52.74,debit,Thursday,5,12,2024,False,-11710.37
109,2024-12-06 10:58:05.115834,Careem - Transportation,Careem,Transportation,-104.59,debit,Friday,6,12,2024,True,-11814.960000000001
110,2024-12-06 10:58:05.115834,Dubai Mall - Entertainment,Dubai Mall,Entertainment,-187.54,debit,Friday,6,12,2024,True,-12002.500000000002
111,2024-12-06 10:58:05.115834,Uber - Transportation,Uber,Transportation,-190.72,debit,Friday,6,12,2024,True,-12193.220000000001
112,2024-12-06 10:58:05.115834,IKEA - Shopping,IKEA,Shopping,-988.5,debit,Friday,6,12,2024,True,-13181.720000000001
113,2024-12-06 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-226.89,debit,Friday,6,12,2024,True,-13408.61
114,2024-12-07 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-264.09,debit,Saturday,7,12,2024,True,-13672.7
115,2024-12-07 10:58:05.115834,YouTube Premium - Subscriptions,YouTube Premium,Subscriptions,-25.14,debit,Saturday,7,12,2024,True,-13697.84
116,2024-12-08 10:58:05.115834,Parking - Transportation,Parking,Transportation,-67.14,debit,Sunday,8,12,2024,False,-13764.98
117,2024-12-08 10:58:05.115834,Boots Pharmacy - Healthcare,Boots Pharmacy,Healthcare,-415.05,debit,Sunday,8,12,2024,False,-14180.029999999999
118,2024-12-09 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-346.21,debit,Monday,9,12,2024,False,-14526.239999999998
119,2024-12-09 10:58:05.115834,Zara - Shopping,Zara,Shopping,-789.5,debit,Monday,9,12,2024,False,-15315.739999999998
120,2024-12-09 10:58:05.115834,Building Maintenance - Utilities,Building Maintenance,Utilities,-393.84,debit,Monday,9,12,2024,False,-15709.579999999998
121,2024-12-09 10:58:05.115834,Amazon.ae - Shopping,Amazon.ae,Shopping,-632.02,debit,Monday,9,12,2024,False,-16341.599999999999
122,2024-12-10 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-64.36,debit,Tuesday,10,12,2024,False,-16405.96
123,2024-12-10 10:58:05.115834,Home Centre - Shopping,Home Centre,Shopping,-948.17,debit,Tuesday,10,12,2024,False,-17354.129999999997
124,2024-12-10 10:58:05.115834,Netflix - Entertainment,Netflix,Entertainment,-339.66,debit,Tuesday,10,12,2024,False,-17693.789999999997
125,2024-12-10 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-398.24,debit,Tuesday,10,12,2024,False,-18092.03
126,2024-12-10 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-209.19,debit,Tuesday,10,12,2024,False,-18301.219999999998
127,2024-12-10 10:58:05.115834,Uber - Transportation,Uber,Transportation,-136.55,debit,Tuesday,10,12,2024,False,-18437.769999999997
128,2024-12-12 10:58:05.115834,Salary Deposit - Company XYZ,Employer,Income,15003.0,credit,Thursday,12,12,2024,False,-3434.769999999997
129,2024-12-12 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-181.3,debit,Thursday,12,12,2024,False,-3616.069999999997
130,2024-12-12 10:58:05.115834,Zara - Shopping,Zara,Shopping,-483.64,debit,Thursday,12,12,2024,False,-4099.709999999997
131,2024-12-13 10:58:05.115834,Fitness First - Fitness,Fitness First,Fitness,-241.51,debit,Friday,13,12,2024,True,-4341.2199999999975
132,2024-12-13 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-115.93,debit,Friday,13,12,2024,True,-4457.149999999998
133,2024-12-13 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-195.16,debit,Friday,13,12,2024,True,-4652.309999999998
134,2024-12-14 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-358.3,debit,Saturday,14,12,2024,True,-5010.609999999998
135,2024-12-14 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-174.95,debit,Saturday,14,12,2024,True,-5185.559999999998
136,2024-12-15 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-632.59,debit,Sunday,15,12,2024,False,-5818.149999999998
137,2024-12-15 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-43.19,debit,Sunday,15,12,2024,False,-5861.339999999997
138,2024-12-16 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-113.56,debit,Monday,16,12,2024,False,-5974.899999999998
139,2024-12-16 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-182.69,debit,Monday,16,12,2024,False,-6157.589999999997
140,2024-12-16 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-138.79,debit,Monday,16,12,2024,False,-6296.379999999997
141,2024-12-16 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-190.68,debit,Monday,16,12,2024,False,-6487.059999999998
142,2024-12-17 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-258.82,debit,Tuesday,17,12,2024,False,-6745.879999999997
143,2024-12-17 10:58:05.115834,Choithrams - Groceries,Choithrams,Groceries,-97.49,debit,Tuesday,17,12,2024,False,-6843.369999999997
144,2024-12-17 10:58:05.115834,Subway - Dining & Coffee,Subway,Dining & Coffee,-142.76,debit,Tuesday,17,12,2024,False,-6986.129999999997
145,2024-12-17 10:58:05.115834,Uber - Transportation,Uber,Transportation,-74.26,debit,Tuesday,17,12,2024,False,-7060.389999999998
146,2024-12-17 10:58:05.115834,H&M - Shopping,H&M,Shopping,-277.87,debit,Tuesday,17,12,2024,False,-7338.2599999999975
147,2024-12-18 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-157.91,debit,Wednesday,18,12,2024,False,-7496.169999999997
148,2024-12-18 10:58:05.115834,Parking - Transportation,Parking,Transportation,-165.4,debit,Wednesday,18,12,2024,False,-7661.569999999997
149,2024-12-19 10:58:05.115834,Uber - Transportation,Uber,Transportation,-41.58,debit,Thursday,19,12,2024,False,-7703.149999999997
150,2024-12-20 10:58:05.115834,Zara - Shopping,Zara,Shopping,-438.09,debit,Friday,20,12,2024,True,-8141.239999999997
151,2024-12-20 10:58:05.115834,McDonald's - Dining & Coffee,McDonald's,Dining & Coffee,-63.42,debit,Friday,20,12,2024,True,-8204.659999999996
152,2024-12-20 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-72.75,debit,Friday,20,12,2024,True,-8277.409999999996
153,2024-12-22 10:58:05.115834,Dubai Mall - Entertainment,Dubai Mall,Entertainment,-208.78,debit,Sunday,22,12,2024,False,-8486.189999999997
154,2024-12-22 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-66.6,debit,Sunday,22,12,2024,False,-8552.789999999997
155,2024-12-23 10:58:05.115834,Mediclinic - Healthcare,Mediclinic,Healthcare,-397.6,debit,Monday,23,12,2024,False,-8950.389999999998
156,2024-12-23 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-44.99,debit,Monday,23,12,2024,False,-8995.379999999997
157,2024-12-23 10:58:05.115834,PlayStation Store - Entertainment,PlayStation Store,Entertainment,-166.55,debit,Monday,23,12,2024,False,-9161.929999999997
158,2024-12-24 10:58:05.115834,Parking - Transportation,Parking,Transportation,-178.65,debit,Tuesday,24,12,2024,False,-9340.579999999996
159,2024-12-24 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-497.14,debit,Tuesday,24,12,2024,False,-9837.719999999996
160,2024-12-24 10:58:05.115834,ENOC Petrol - Transportation,ENOC Petrol,Transportation,-251.46,debit,Tuesday,24,12,2024,False,-10089.179999999995
161,2024-12-24 10:58:05.115834,Choithrams - Groceries,Choithrams,Groceries,-348.71,debit,Tuesday,24,12,2024,False,-10437.889999999994
162,2024-12-25 10:58:05.115834,Spinneys - Groceries,Spinneys,Groceries,-316.43,debit,Wednesday,25,12,2024,False,-10754.319999999994
163,2024-12-25 10:58:05.115834,Uber - Transportation,Uber,Transportation,-213.83,debit,Wednesday,25,12,2024,False,-10968.149999999994
164,2024-12-25 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-106.45,debit,Wednesday,25,12,2024,False,-11074.599999999995
165,2024-12-26 10:58:05.115834,ADNOC - Transportation,ADNOC,Transportation,-97.66,debit,Thursday,26,12,2024,False,-11172.259999999995
166,2024-12-27 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-907.32,debit,Friday,27,12,2024,True,-12079.579999999994
167,2024-12-28 10:58:05.115834,West Zone - Groceries,West Zone,Groceries,-311.63,debit,Saturday,28,12,2024,True,-12391.209999999994
168,2024-12-29 10:58:05.115834,Choithrams - Groceries,Choithrams,Groceries,-71.79,debit,Sunday,29,12,2024,False,-12462.999999999995
169,2024-12-30 10:58:05.115834,Carrefour - Groceries,Carrefour,Groceries,-186.1,debit,Monday,30,12,2024,False,-12649.099999999995
170,2024-12-30 10:58:05.115834,RTA Salik - Transportation,RTA Salik,Transportation,-229.87,debit,Monday,30,12,2024,False,-12878.969999999996
171,2024-12-30 10:58:05.115834,Costa Coffee - Dining & Coffee,Costa Coffee,Dining & Coffee,-80.64,debit,Monday,30,12,2024,False,-12959.609999999995
172,2024-12-30 10:58:05.115834,Noon.com - Shopping,Noon.com,Shopping,-81.01,debit,Monday,30,12,2024,False,-13040.619999999995
173,2024-12-30 10:58:05.115834,PlayStation Store - Entertainment,PlayStation Store,Entertainment,-190.13,debit,Monday,30,12,2024,False,-13230.749999999995
174,2024-12-30 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-95.2,debit,Monday,30,12,2024,False,-13325.949999999995
175,2024-12-31 10:58:05.115834,Uber - Transportation,Uber,Transportation,-133.4,debit,Tuesday,31,12,2024,False,-13459.349999999995
176,2025-01-02 10:58:05.115834,VOX Cinemas - Entertainment,VOX Cinemas,Entertainment,-101.31,debit,Thursday,2,1,2025,False,-13560.659999999994
177,2025-01-02 10:58:05.115834,Choithrams - Groceries,Choithrams,Groceries,-216.94,debit,Thursday,2,1,2025,False,-13777.599999999995
178,2025-01-03 10:58:05.115834,Zara - Shopping,Zara,Shopping,-629.15,debit,Friday,3,1,2025,True,-14406.749999999995
179,2025-01-03 10:58:05.115834,Tim Hortons - Dining & Coffee,Tim Hortons,Dining & Coffee,-147.9,debit,Friday,3,1,2025,True,-14554.649999999994
180,2025-01-03 10:58:05.115834,Lulu Hypermarket - Groceries,Lulu Hypermarket,Groceries,-220.88,debit,Friday,3,1,2025,True,-14775.529999999993
181,2025-01-03 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-162.3,debit,Friday,3,1,2025,True,-14937.829999999993
182,2025-01-03 10:58:05.115834,Talise Fitness - Fitness,Talise Fitness,Fitness,-331.75,debit,Friday,3,1,2025,True,-15269.579999999993
183,2025-01-04 10:58:05.115834,PlayStation Store - Entertainment,PlayStation Store,Entertainment,-139.57,debit,Saturday,4,1,2025,True,-15409.149999999992
184,2025-01-04 10:58:05.115834,Parking - Transportation,Parking,Transportation,-152.34,debit,Saturday,4,1,2025,True,-15561.489999999993
185,2025-01-05 10:58:05.115834,Pizza Hut - Dining & Coffee,Pizza Hut,Dining & Coffee,-88.38,debit,Sunday,5,1,2025,False,-15649.869999999992
186,2025-01-05 10:58:05.115834,Starbucks - Dining & Coffee,Starbucks,Dining & Coffee,-119.33,debit,Sunday,5,1,2025,False,-15769.199999999992
187,2025-01-06 10:58:05.115834,Boots Pharmacy - Healthcare,Boots Pharmacy,Healthcare,-149.83,debit,Monday,6,1,2025,False,-15919.029999999992
